ihm,none
koennen,none
ich,n
sie,none
das,none
ist,n
du,none
nicht,none
die,none
und,none
es,n
der,none
was,m
wir,none
er,none
zu,none
ein,none
in,none
mit,none
mir,none
den,none
wie,n
ja,n
auf,none
mich,none
so,m
eine,none
aber,n
hier,none
sind,none
fuer,none
von,none
haben,n
hat,none
dich,none
war,none
dass,none
wenn,none
an,none
da,n
nein,n
bin,none
noch,m
dir,none
nur,none
habe,f
ihr,none
sich,none
einen,none
uns,none
hast,f
dem,none
ihn,none
aus,n
kann,none
gut,n
auch,none
schon,none
jetzt,n
im,none
sein,n
mal,n
dann,none
meine,none
als,m
um,none
mein,none
doch,none
bist,none
wird,none
keine,none
nach,none
alles,none
man,none
lch,none
oder,f
nichts,n
wo,n
werden,n
weiß,none
will,none
geht,none
mehr,n
warum,n
hab,none
ihnen,none
bitte,f
etwas,n
bei,none
muss,n
los,n
immer,none
oh,none
vor,none
mann,m
zum,none
wieder,none
sehr,none
sehen,n
sagen,none
also,none
gehen,n
wer,none
alle,none
denn,none
machen,none
koennen,none
diese,none
komm,none
danke,none
euch,none
einem,none
tun,n
einer,m
gibt,none
nie,none
ueber,none
des,none
soll,n
kein,none
vielleicht,none
weg,m
deine,none
wissen,n
am,none
werde,none
leben,n
kommen,m
kommt,none
muessen,none
viel,none
wirklich,none
frau,f
hatte,none
heute,n
ok,none
willst,none
dein,none
wuerde,none
tut,none
ihre,none
ganz,none
zeit,f
bis,none
wollen,n
einfach,none
macht,f
gott,m
zurueck,none
nun,none
weil,none
damit,none
dieser,none
kannst,none
wurde,none
gesagt,none
waere,none
seine,none
wollte,none
na,none
zwei,f
hallo,n
meinen,none
sicher,none
weißt,none
sir,m
morgen,m
ab,m
leid,n
lassen,none
hey,none
waren,f
zur,none
lass,none
e,none
geld,n
liebe,f
tag,m
leute,f
vater,m
genau,none
sagte,none
haette,none
mach,n
raus,none
durch,none
lhr,none
koennte,none
schoen,none
wohl,n
gesehen,none
keinen,none
klar,none
glaube,m
her,none
okay,none
mutter,f
sag,none
dieses,none
nacht,f
besser,m
ohne,none
unsere,none
jemand,none
sei,none
reden,none
gerade,f
ob,none
gehoert,none
geh,none
moechte,none
dort,none
sagt,none
anderen,none
gemacht,none
hoer,none
sollte,none
selbst,n
diesen,none
gute,n
dachte,none
paar,n
weiter,none
vom,none
ins,none
herr,m
wirst,none
geben,none
ordnung,f
passiert,none
meiner,none
lange,none
gar,none
maedchen,none
meinem,none
hoeren,none
sieht,none
daß,none
guten,f
hin,none
gleich,none
ach,none
diesem,none
freund,m
seit,none
welt,m
musst,none
hause,none
natuerlich,none
abend,m
angst,f
drei,f
recht,n
richtig,none
viele,none
deinen,none
finden,m
wieso,none
bleiben,none
tot,none
unter,none
junge,n
haus,n
rein,none
essen,n
davon,none
nehmen,none
sollen,none
helfen,none
schnell,none
machst,none
eines,none
andere,n
unser,none
warte,f
wegen,none
menschen,none
stimmt,none
dafuer,none
darf,none
kinder,none
genug,none
sonst,none
ganze,n
scheiße,none
he,none
halt,m
sollten,none
zusammen,none
gegen,none
jahre,m
erst,none
denke,none
steht,none
habt,none
verdammt,none
moment,n
ihren,none
glauben,m
bringen,none
gib,none
seid,none
niemand,m
warten,n
brauchen,none
lhre,none
fragen,n
arbeit,f
wann,n
heißt,none
sprechen,n
siehst,none
jeder,none
kam,none
sofort,none
getan,none
fertig,none
kennen,none
einmal,none
sohn,m
halten,n
dabei,none
hatten,none
maenner,none
kind,n
jahren,none
beim,none
seinen,none
mag,none
komme,none
allein,none
bevor,none
bruder,m
musik,f
wahr,none
konnte,none
lieber,none
uhr,f
kopf,m
sache,f
gern,none
denken,n
brauche,none
ende,n
spaeter,none
gehe,none
vergessen,n
runter,none
fahren,n
sieh,none
warst,none
stadt,m
namen,none
problem,n
sehe,none
augen,f
gab,none
dank,m
sage,f
wuerden,none
eins,f
daran,none
dazu,none
egal,none
frage,f
weit,none
familie,none
sterben,none
koennten,none
jungs,f
jeden,none
minuten,none
verstehe,none
deiner,none
hilfe,f
beide,none
bald,none
all,n
deinem,none
nimm,none
kleine,f
baby,n
glueck,none
freunde,m
wusste,none
verrueckt,none
ruhig,none
land,n
darueber,none
gefunden,none
tuer,none
mache,f
seiner,none
wasser,n
auto,n
sah,none
dies,none
eigentlich,none
eure,none
ruhe,f
stehen,n
hand,f
ihrer,none
frauen,f
meinst,none
toeten,none
fall,m
ging,none
polizei,f
vorbei,none
krieg,m
je,none
darauf,none
vielen,none
letzte,n
lang,none
bisschen,none
dran,none
hoch,n
kenne,none
fast,none
ganzen,none
schau,f
sogar,none
spielen,n
wurden,none
hinter,none
teufel,m
dinge,m
keiner,none
mama,f
spaet,none
bekommen,none
oben,none
name,m
hoert,none
haetten,none
bereit,none
drin,none
neue,none
kommst,none
woher,none
ihrem,none
wagen,m
arbeiten,n
verstehen,n
jahr,n
tod,m
etwa,none
echt,none
seinem,none
geschichte,f
bringt,none
braucht,none
treffen,n
toll,none
gerne,none
draußen,none
fuenf,none
lhnen,none
zimmer,n
job,m
nett,none
weiss,none
the,none
spiel,n
verstanden,none
miss,none
große,none
anders,none
sorgen,f
welche,none
einzige,none
art,f
liegt,none
verloren,none
ahnung,f
vier,f
alter,n
gekommen,none
jemanden,none
gehst,none
woche,m
kerl,m
hi,none
john,none
gestern,n
wenig,none
bestimmt,none
kurz,none
ueberhaupt,none
finde,none
darum,none
tage,f
erste,n
schwester,f
schwer,none
suchen,n
bleibt,none
tochter,f
typ,m
guter,none
gewesen,none
grund,m
zeigen,none
film,m
schlecht,none
schatz,m
deshalb,none
holen,none
hoffe,none
tu,none
sagst,none
bett,n
muß,none
seite,f
gefaellt,none
eben,none
lasst,none
gefallen,n
stunden,none
herz,n
wohin,none
trinken,n
letzten,none
mensch,m
ersten,none
unten,none
gesicht,n
versuchen,none
wort,n
denen,none
verlassen,n
endlich,none
denkst,none
solltest,none
schlafen,m
ziemlich,none
jack,none
dollar,m
arsch,m
manchmal,none
fest,n
wiedersehen,n
beste,n
kleinen,f
kriegen,none
laeuft,none
wahrheit,f
zwischen,none
niemals,none
bring,none
unserer,none
nehme,none
allen,n
waehrend,none
glaubst,none
ding,n
idee,f
wollten,none
laesst,none
musste,none
sachen,f
ah,none
bleib,none
kleiner,none
euer,none
nummer,f
sondern,none
frei,none
oft,none
entschuldigung,f
wen,none
ernst,m
alte,f
schule,f
ort,m
erzaehlt,none
anderes,none
new,none
alt,m
chance,f
einige,none
bloß,none
entschuldigen,none
setzen,n
bedeutet,none
erzaehlen,none
feuer,n
pass,m
wuerdest,none
schuld,f
dad,none
getoetet,none
jungen,f
drauf,none
platz,m
waeren,none
tust,none
papa,m
spaß,none
versucht,none
wichtig,none
besten,none
sorge,f
kennst,none
lst,none
hund,m
blut,n
hierher,none
reicht,none
alten,f
waer,none
gluecklich,none
brauchst,none
haende,none
unseren,none
haettest,none
kaum,none
rede,f
zuerst,none
stellen,none
beiden,none
falls,none
frueh,none
wartet,none
neuen,none
sechs,f
jede,none
freundin,f
i,none
lieben,none
teil,n
stunde,f
langsam,none
scheint,none
frueher,none
großen,none
waffe,none
telefon,n
himmel,m
lernen,n
you,none
aeh,none
zehn,f
gedacht,none
willkommen,m
frank,none
luft,f
licht,n
hol,none
seht,none
menge,f
voll,none
ueberall,none
tat,m
erde,f
gebe,none
a,none
ruf,m
moeglich,none
spricht,none
koenig,none
eltern,m
außer,none
naechsten,none
ziehen,n
wahrscheinlich,none
wollt,none
duerfen,none
nennen,none
falsch,m
ehrlich,none
irgendwas,none
naechste,none
wochen,none
meines,none
herren,none
straße,none
heiraten,m
stueck,none
sam,none
doktor,m
neues,none
gegeben,none
kaffee,m
moechten,none
